offline_datapoint_129 1683130816 0,000
offline_datapoint_59 1683130816 1,153
offline_datapoint_2 1683130816 0,000
offline_datapoint_116 1683130817 0,259
offline_datapoint_28 1683130817 0,044
offline_datapoint_111 1683130817 0,000
offline_datapoint_85 1683130817 0,022
offline_datapoint_138 1683130817 4,022
offline_datapoint_81 1683130817 49,198
offline_datapoint_54 1683130817 4,220
offline_datapoint_107 1683130817 30,128
offline_datapoint_50 1683130817 0,000
offline_datapoint_24 1683130817 30,128
offline_datapoint_77 1683130817 30,479
offline_datapoint_20 1683130817 0,000
offline_datapoint_134 1683130817 30,479
offline_datapoint_46 1683130817 0,350
offline_datapoint_130 1683130817 0,000
offline_datapoint_103 1683130817 0,350
offline_datapoint_16 1683130817 99,288
offline_datapoint_99 1683130817 99,841
offline_datapoint_73 1683130817 99,564
offline_datapoint_126 1683130817 1,401
offline_datapoint_69 1683130817 0,000
offline_datapoint_42 1683130817 1,401
offline_datapoint_95 1683130819 9164,000
offline_datapoint_38 1683130819 491,000
offline_datapoint_12 1683130819 9655,000
offline_datapoint_65 1683130817 617204,919
offline_datapoint_8 1683130817 0,000
offline_datapoint_122 1683130817 617204,919
offline_datapoint_34 1683130817 628146,361
offline_datapoint_118 1683130817 0,000
offline_datapoint_91 1683130817 628146,361
offline_datapoint_4 1683130817 10941,441
offline_datapoint_87 1683130817 0,000
offline_datapoint_61 1683130817 10941,441
offline_datapoint_113 1683130817 0,000
offline_datapoint_56 1683130817 0,000
offline_datapoint_30 1683130817 0,000
offline_datapoint_83 1683130817 0,000
offline_datapoint_26 1683130817 0,000
offline_datapoint_0 1683130817 0,000
offline_datapoint_52 1683130817 0,001
offline_datapoint_136 1683130817 0,000
offline_datapoint_109 1683130817 0,001
offline_datapoint_22 1683130817 20609,471
offline_datapoint_105 1683130817 0,000
offline_datapoint_79 1683130817 20609,471
offline_datapoint_132 1683130817 31232,000
offline_datapoint_75 1683130817 0,000
offline_datapoint_48 1683130817 31232,000
offline_datapoint_101 1683130817 20485,953
offline_datapoint_44 1683130817 0,000
offline_datapoint_18 1683130817 20485,953
offline_datapoint_71 1683130817 0,006
offline_datapoint_14 1683130817 0,000
offline_datapoint_128 1683130817 0,006
offline_datapoint_40 1683130817 0,005
offline_datapoint_124 1683130817 0,000
offline_datapoint_97 1683130817 0,005
offline_datapoint_10 1683130817 0,000
offline_datapoint_93 1683130817 0,000
offline_datapoint_67 1683130817 0,000
offline_datapoint_120 1683130819 0,000
offline_datapoint_63 1683130819 0,000
offline_datapoint_36 1683130819 0,000
offline_datapoint_114 1683130817 51,147
offline_datapoint_98 1683130819 424652800,000
offline_datapoint_41 1683130819 253435904,000
offline_datapoint_125 1683130819 368156672,000
offline_datapoint_68 1683130819 5882974208,000
offline_datapoint_11 1683130819 49532928,000
offline_datapoint_37 1683130819 425357312,000
offline_datapoint_94 1683130819 234217472,000
offline_datapoint_121 1683130819 187543552,000
offline_datapoint_64 1683130819 147349504,000
offline_datapoint_7 1683130819 43724800,000
