offline_datapoint_57 1682700341 13056,000
offline_datapoint_26 1682700341 4650,667
offline_datapoint_72 1682700341 0,004
offline_datapoint_41 1682700341 0,003
offline_datapoint_10 1682700341 0,002
offline_datapoint_55 1682700343 0,000
offline_datapoint_70 1682700344 0,264
offline_datapoint_39 1682700344 0,000
offline_datapoint_24 1682700344 0,132
offline_datapoint_30 1682700344 82,460
offline_datapoint_22 1682700346 369246208,000
offline_datapoint_68 1682700346 192135168,000
offline_datapoint_37 1682700346 323571712,000
offline_datapoint_6 1682700346 8696090624,000
offline_datapoint_51 1682700346 70750208,000
offline_datapoint_66 1682700346 351244288,000
offline_datapoint_20 1682700346 218972160,000
offline_datapoint_35 1682700346 31600640,000
offline_datapoint_4 1682700346 146878464,000
offline_datapoint_49 1682700346 340811776,000
offline_datapoint_18 1682700346 2282962944,000
offline_datapoint_63 1682700344 4,330
offline_datapoint_32 1682700346 8192,000
offline_datapoint_1 1682700346 43085824,000
offline_datapoint_46 1682700344 0,000
offline_datapoint_60 1682700346 2736576,000
offline_datapoint_29 1682700346 2672,000
offline_datapoint_15 1682700346 2802253824,000
offline_datapoint_75 1682700344 71,605
offline_datapoint_44 1682700344 4,330
offline_datapoint_13 1682700344 0,000
offline_datapoint_58 1682700344 939,196
offline_datapoint_27 1682700344 34,304
offline_datapoint_73 1682700344 2970,457
offline_datapoint_42 1682700344 1433,773
offline_datapoint_11 1682700344 0,000
offline_datapoint_56 1682700346 10545815552,000
offline_datapoint_25 1682700346 0,000
offline_datapoint_71 1682700346 0,000
offline_datapoint_40 1682700346 8192,000
offline_datapoint_9 1682700346 218972160,000
offline_datapoint_54 1682700346 10481664,000
offline_datapoint_23 1682700346 12514789,000
offline_datapoint_69 1682700346 14400,000
offline_datapoint_38 1682700344 0,666
offline_datapoint_7 1682700344 0,571
offline_datapoint_52 1682700344 94,123
offline_datapoint_21 1682700344 0,000
offline_datapoint_67 1682700344 0,000
offline_datapoint_36 1682700344 0,000
offline_datapoint_76 1682700344 3,479
offline_datapoint_5 1682700344 1,691
offline_datapoint_50 1682700344 1,691
offline_datapoint_19 1682700344 40,632
offline_datapoint_64 1682700344 3946,289
offline_datapoint_33 1682700344 0,000
offline_datapoint_2 1682700344 438,958
offline_datapoint_47 1682700344 5594,211
